epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
4,3,0.7454,0.6095,0.7678,0.5676,coded_tweets-AND-smallCAP,0.5547,0.6246
5,3,0.7536,0.6036,0.7807,0.558,coded_tweets-AND-smallCAP,0.5479,0.6192
6,3,0.7536,0.6036,0.7807,0.558,coded_tweets-AND-smallCAP,0.5479,0.6192
7,3,0.7536,0.6036,0.7807,0.558,coded_tweets-AND-smallCAP,0.5479,0.6192
8,3,0.7536,0.6036,0.7807,0.558,coded_tweets-AND-smallCAP,0.5479,0.6192
1,1,0.6118,0.2116,0.6845,0.2379,coded_tweets-AND-smallerCAP,0.0976,0.2095
2,1,0.7113,0.4554,0.7485,0.4348,coded_tweets-AND-smallerCAP,0.2897,0.4333
3,1,0.6859,0.5804,0.7007,0.5894,coded_tweets-AND-smallerCAP,0.4762,0.583
4,1,0.7431,0.5829,0.781,0.6002,coded_tweets-AND-smallerCAP,0.5558,0.6408
5,1,0.7553,0.5792,0.7884,0.587,coded_tweets-AND-smallerCAP,0.5487,0.6355
6,1,0.7553,0.5792,0.7884,0.587,coded_tweets-AND-smallerCAP,0.5487,0.6355
7,1,0.7553,0.5792,0.7884,0.587,coded_tweets-AND-smallerCAP,0.5487,0.6355
1,2,0.661,0.338,0.7235,0.3527,coded_tweets-AND-smallerCAP,0.2201,0.3338
2,2,0.7029,0.5283,0.751,0.564,coded_tweets-AND-smallerCAP,0.4489,0.5686
3,2,0.7251,0.5733,0.7589,0.5713,coded_tweets-AND-smallerCAP,0.5015,0.6031
4,2,0.7368,0.581,0.771,0.599,coded_tweets-AND-smallerCAP,0.5534,0.6391
5,2,0.7452,0.581,0.7797,0.5749,coded_tweets-AND-smallerCAP,0.5495,0.6298
6,2,0.7452,0.581,0.7797,0.5749,coded_tweets-AND-smallerCAP,0.5495,0.6298
1,3,0.6345,0.2176,0.6899,0.192,coded_tweets-AND-smallerCAP,0.0649,0.152
2,3,0.6939,0.5303,0.722,0.5338,coded_tweets-AND-smallerCAP,0.3984,0.5247
