epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
6,3,0.7885,0.6357,0.8296,0.6351,coded_tweets-AND-smallCAP,0.569,0.6781
7,3,0.7997,0.6245,0.8432,0.6228,coded_tweets-AND-smallCAP,0.5648,0.6764
1,1,0.715,0.5095,0.7684,0.5842,coded_tweets-AND-smallerCAP,0.2513,0.5641
2,1,0.8098,0.581,0.8391,0.5877,coded_tweets-AND-smallerCAP,0.4206,0.6274
3,1,0.8191,0.5524,0.8545,0.5333,coded_tweets-AND-smallerCAP,0.4323,0.613
4,1,0.8271,0.6111,0.855,0.5895,coded_tweets-AND-smallerCAP,0.515,0.6536
5,1,0.8242,0.6556,0.8328,0.6105,coded_tweets-AND-smallerCAP,0.5315,0.6683
6,1,0.825,0.6714,0.8332,0.6439,coded_tweets-AND-smallerCAP,0.5691,0.6903
1,2,0.7309,0.4231,0.7707,0.4561,coded_tweets-AND-smallerCAP,0.1796,0.4536
2,2,0.7866,0.4595,0.8523,0.5035,coded_tweets-AND-smallerCAP,0.3373,0.5821
3,2,0.7955,0.5785,0.8405,0.614,coded_tweets-AND-smallerCAP,0.4529,0.6569
4,2,0.8009,0.5769,0.84,0.5982,coded_tweets-AND-smallerCAP,0.502,0.6511
5,2,0.8222,0.5752,0.8532,0.5895,coded_tweets-AND-smallerCAP,0.5538,0.6674
6,2,0.8108,0.6231,0.8364,0.6491,coded_tweets-AND-smallerCAP,0.6047,0.6961
1,3,0.7369,0.4748,0.7815,0.4825,coded_tweets-AND-smallerCAP,0.1917,0.4832
2,3,0.7598,0.6136,0.7757,0.6,coded_tweets-AND-smallerCAP,0.3639,0.6032
3,3,0.7498,0.6498,0.7653,0.6684,coded_tweets-AND-smallerCAP,0.5232,0.6811
4,3,0.8116,0.5804,0.8486,0.5789,coded_tweets-AND-smallerCAP,0.5166,0.6487
5,3,0.8201,0.6293,0.8459,0.6211,coded_tweets-AND-smallerCAP,0.5382,0.6758
6,3,0.8161,0.6356,0.8399,0.6316,coded_tweets-AND-smallerCAP,0.5425,0.6805
7,3,0.8241,0.6451,0.8413,0.6088,coded_tweets-AND-smallerCAP,0.566,0.6663
1,1,0.8277,0.8256,0.7683,0.5491,coded_tweets-AND-ar,0.5142,0.5948
2,1,0.847,0.8459,0.7779,0.5649,coded_tweets-AND-ar,0.5377,0.6168
3,1,0.8567,0.8544,0.8092,0.6,coded_tweets-AND-ar,0.5455,0.655
4,1,0.8524,0.854,0.7715,0.5912,coded_tweets-AND-ar,0.5144,0.6349
5,1,0.8616,0.8625,0.7797,0.5947,coded_tweets-AND-ar,0.5474,0.6407
1,2,0.8342,0.8258,0.816,0.4719,coded_tweets-AND-ar,0.3811,0.556
2,2,0.8464,0.8433,0.8087,0.5561,coded_tweets-AND-ar,0.5445,0.6134
3,2,0.8544,0.8537,0.7905,0.5912,coded_tweets-AND-ar,0.5475,0.6425
4,2,0.8536,0.8536,0.786,0.6,coded_tweets-AND-ar,0.5334,0.6514
5,2,0.8566,0.8569,0.7887,0.6105,coded_tweets-AND-ar,0.5418,0.6585
6,2,0.8622,0.8589,0.8155,0.5807,coded_tweets-AND-ar,0.5365,0.6444
1,3,0.8335,0.8316,0.7879,0.5667,coded_tweets-AND-ar,0.5072,0.6178
2,3,0.8396,0.8404,0.7702,0.6053,coded_tweets-AND-ar,0.5387,0.6527
3,3,0.8536,0.8503,0.8114,0.586,coded_tweets-AND-ar,0.5166,0.6457
4,3,0.8584,0.856,0.8187,0.5877,coded_tweets-AND-ar,0.5241,0.6486
5,3,0.8576,0.8592,0.7852,0.6158,coded_tweets-AND-ar,0.5211,0.6586
6,3,0.8626,0.8596,0.8214,0.586,coded_tweets-AND-ar,0.523,0.6467
1,1,0.724,0.5006,0.7657,0.4667,coded_tweets-AND-small-ar,0.2659,0.4818
2,1,0.7734,0.632,0.8019,0.6088,coded_tweets-AND-small-ar,0.4331,0.6373
3,1,0.8082,0.617,0.8382,0.5456,coded_tweets-AND-small-ar,0.4656,0.6172
4,1,0.8052,0.6508,0.8237,0.5912,coded_tweets-AND-small-ar,0.4786,0.6456
5,1,0.7821,0.6721,0.7879,0.6211,coded_tweets-AND-small-ar,0.4814,0.6603
6,1,0.797,0.6721,0.8101,0.6316,coded_tweets-AND-small-ar,0.5133,0.673
1,2,0.6328,0.161,0.7476,0.1474,coded_tweets-AND-small-ar,0.0628,0.1458
2,2,0.6805,0.4679,0.7408,0.4737,coded_tweets-AND-small-ar,0.2593,0.4763
3,2,0.775,0.5874,0.8137,0.5596,coded_tweets-AND-small-ar,0.3608,0.5977
4,2,0.7944,0.5497,0.8364,0.507,coded_tweets-AND-small-ar,0.3649,0.5826
5,2,0.7934,0.6063,0.8242,0.5579,coded_tweets-AND-small-ar,0.4324,0.6226
6,2,0.7974,0.6189,0.8341,0.5825,coded_tweets-AND-small-ar,0.4569,0.6429
7,2,0.8026,0.6252,0.8354,0.5912,coded_tweets-AND-small-ar,0.455,0.6525
8,2,0.8026,0.6252,0.8354,0.5912,coded_tweets-AND-small-ar,0.455,0.6525
1,3,0.6524,0.2454,0.7507,0.2228,coded_tweets-AND-small-ar,0.0713,0.2089
2,3,0.7709,0.513,0.8228,0.4579,coded_tweets-AND-small-ar,0.319,0.5287
3,3,0.8031,0.6221,0.821,0.5579,coded_tweets-AND-small-ar,0.3943,0.6096
4,3,0.8066,0.6134,0.8382,0.5632,coded_tweets-AND-small-ar,0.4083,0.621
5,3,0.8154,0.6753,0.8155,0.5719,coded_tweets-AND-small-ar,0.4401,0.6276
6,3,0.8143,0.6927,0.8106,0.5895,coded_tweets-AND-small-ar,0.4642,0.6409
1,1,0.717,0.3175,0.7752,0.3316,coded_tweets-AND-smaller-ar,0.1359,0.3333
2,1,0.7879,0.5095,0.8346,0.5281,coded_tweets-AND-smaller-ar,0.3555,0.5893
3,1,0.7981,0.546,0.8423,0.5614,coded_tweets-AND-smaller-ar,0.3701,0.6198
4,1,0.8055,0.6254,0.8174,0.6,coded_tweets-AND-smaller-ar,0.4406,0.6518
5,1,0.7877,0.6397,0.7911,0.6105,coded_tweets-AND-smaller-ar,0.4953,0.6554
6,1,0.8074,0.6127,0.8369,0.614,coded_tweets-AND-smaller-ar,0.5222,0.6672
1,2,0.6909,0.1256,0.7698,0.1439,coded_tweets-AND-smaller-ar,0.0381,0.1462
2,2,0.7771,0.395,0.8409,0.4491,coded_tweets-AND-smaller-ar,0.2603,0.5223
3,2,0.7816,0.4826,0.8454,0.5474,coded_tweets-AND-smaller-ar,0.3869,0.608
4,2,0.7866,0.5554,0.8301,0.5877,coded_tweets-AND-smaller-ar,0.5181,0.6414
5,2,0.8015,0.5521,0.8468,0.5895,coded_tweets-AND-smaller-ar,0.5299,0.6571
6,2,0.8093,0.6116,0.8419,0.6263,coded_tweets-AND-smaller-ar,0.5439,0.6725
1,3,0.6411,0.0694,0.7331,0.0754,coded_tweets-AND-smaller-ar,0.0094,0.0549
2,3,0.6638,0.183,0.7431,0.1789,coded_tweets-AND-smaller-ar,0.0262,0.1182
3,3,0.6508,0.2161,0.7271,0.2123,coded_tweets-AND-smaller-ar,0.0275,0.1337
4,3,0.6508,0.2192,0.7303,0.2281,coded_tweets-AND-smaller-ar,0.0464,0.1709
5,3,0.682,0.2697,0.7602,0.293,coded_tweets-AND-smaller-ar,0.0876,0.2625
6,3,0.6955,0.3328,0.7639,0.3509,coded_tweets-AND-smaller-ar,0.1075,0.3256
7,3,0.693,0.3407,0.763,0.3737,coded_tweets-AND-smaller-ar,0.1139,0.3482
8,3,0.693,0.3407,0.763,0.3737,coded_tweets-AND-smaller-ar,0.1139,0.3482
9,3,0.693,0.3407,0.763,0.3737,coded_tweets-AND-smaller-ar,0.1139,0.3482
1,1,0.7853,0.782,0.8268,0.4825,coded_tweets-AND-other-coded-tweets,0.4347,0.567
2,1,0.8048,0.8026,0.8273,0.5544,coded_tweets-AND-other-coded-tweets,0.5066,0.6338
3,1,0.8104,0.809,0.811,0.593,coded_tweets-AND-other-coded-tweets,0.5386,0.6636
4,1,0.8145,0.8135,0.8142,0.586,coded_tweets-AND-other-coded-tweets,0.5539,0.6536
5,1,0.8157,0.8142,0.8301,0.5807,coded_tweets-AND-other-coded-tweets,0.5475,0.6604
1,2,0.7885,0.7857,0.8173,0.4649,coded_tweets-AND-other-coded-tweets,0.4427,0.5572
