epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
3,2,0.7587,0.6323,0.7977,0.6302,coded_tweets-AND-smallCAP,0.6136,0.6721
4,2,0.7649,0.6547,0.8019,0.6696,coded_tweets-AND-smallCAP,0.6432,0.7069
5,2,0.7746,0.6415,0.8057,0.6226,coded_tweets-AND-smallCAP,0.6138,0.6729
6,2,0.7746,0.6415,0.8057,0.6226,coded_tweets-AND-smallCAP,0.6138,0.6729
1,3,0.7199,0.5095,0.7608,0.4295,coded_tweets-AND-smallCAP,0.345,0.4402
2,3,0.7568,0.6006,0.7733,0.5311,coded_tweets-AND-smallCAP,0.4962,0.5707
3,3,0.7617,0.6126,0.7861,0.5845,coded_tweets-AND-smallCAP,0.5775,0.6385
4,3,0.7602,0.6426,0.7903,0.6391,coded_tweets-AND-smallCAP,0.6205,0.6821
5,3,0.7736,0.6316,0.802,0.6112,coded_tweets-AND-smallCAP,0.6008,0.6641
1,1,0.6933,0.4392,0.7499,0.4282,coded_tweets-AND-smallerCAP,0.3453,0.445
2,1,0.7373,0.5766,0.7786,0.5909,coded_tweets-AND-smallerCAP,0.5304,0.6203
3,1,0.7235,0.6314,0.7611,0.6429,coded_tweets-AND-smallerCAP,0.5939,0.6669
4,1,0.7458,0.6496,0.7858,0.6658,coded_tweets-AND-smallerCAP,0.6304,0.6948
5,1,0.7611,0.6071,0.8028,0.6061,coded_tweets-AND-smallerCAP,0.5975,0.6588
6,1,0.7611,0.6071,0.8028,0.6061,coded_tweets-AND-smallerCAP,0.5975,0.6588
1,2,0.6965,0.3617,0.7374,0.3278,coded_tweets-AND-smallerCAP,0.2577,0.3471
2,2,0.7542,0.5673,0.7873,0.5515,coded_tweets-AND-smallerCAP,0.4835,0.5888
3,2,0.741,0.6371,0.7653,0.6429,coded_tweets-AND-smallerCAP,0.6017,0.6739
4,2,0.7622,0.6041,0.7965,0.615,coded_tweets-AND-smallerCAP,0.6091,0.6627
5,2,0.7744,0.6155,0.8028,0.6086,coded_tweets-AND-smallerCAP,0.6055,0.6624
6,2,0.7744,0.6155,0.8028,0.6086,coded_tweets-AND-smallerCAP,0.6055,0.6624
1,3,0.6817,0.3591,0.737,0.3698,coded_tweets-AND-smallerCAP,0.2488,0.3627
2,3,0.7336,0.5711,0.7677,0.587,coded_tweets-AND-smallerCAP,0.5204,0.602
3,3,0.7431,0.6358,0.7669,0.6455,coded_tweets-AND-smallerCAP,0.5827,0.6619
4,3,0.7701,0.6231,0.8027,0.6302,coded_tweets-AND-smallerCAP,0.6114,0.6757
5,3,0.777,0.6231,0.8157,0.6328,coded_tweets-AND-smallerCAP,0.6172,0.6857
6,3,0.777,0.6231,0.8157,0.6328,coded_tweets-AND-smallerCAP,0.6172,0.6857
7,3,0.777,0.6231,0.8157,0.6328,coded_tweets-AND-smallerCAP,0.6172,0.6857
1,1,0.8197,0.8121,0.7523,0.4003,coded_tweets-AND-ar,0.4486,0.4838
2,1,0.8399,0.8407,0.7612,0.6048,coded_tweets-AND-ar,0.5718,0.6431
3,1,0.8546,0.857,0.7549,0.6404,coded_tweets-AND-ar,0.6107,0.6766
4,1,0.8567,0.8582,0.7661,0.6188,coded_tweets-AND-ar,0.6064,0.665
5,1,0.8605,0.8615,0.7774,0.6226,coded_tweets-AND-ar,0.6152,0.6741
6,1,0.8605,0.8615,0.7774,0.6226,coded_tweets-AND-ar,0.6152,0.6741
1,2,0.8174,0.8098,0.7653,0.4358,coded_tweets-AND-ar,0.4587,0.5177
2,2,0.8356,0.8319,0.7862,0.5527,coded_tweets-AND-ar,0.5471,0.6194
3,2,0.845,0.8454,0.7778,0.6099,coded_tweets-AND-ar,0.5961,0.6573
4,2,0.8547,0.8547,0.7787,0.5832,coded_tweets-AND-ar,0.5912,0.6395
5,2,0.8584,0.8577,0.785,0.587,coded_tweets-AND-ar,0.5946,0.6402
1,3,0.8153,0.8108,0.7645,0.4892,coded_tweets-AND-ar,0.4879,0.5552
2,3,0.8375,0.8362,0.7715,0.5769,coded_tweets-AND-ar,0.5747,0.6369
3,3,0.8463,0.8504,0.7516,0.6429,coded_tweets-AND-ar,0.6112,0.6772
4,3,0.856,0.858,0.7695,0.6315,coded_tweets-AND-ar,0.599,0.6748
5,3,0.8608,0.86,0.8019,0.6328,coded_tweets-AND-ar,0.6218,0.6849
