epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
,,,,,,,,
1,1,0.25,0.098,0.475,0.0471,leg_codedtweets,0.0123,0.0194
2,1,0.2891,0.1647,0.5073,0.127,leg_codedtweets,0.0367,0.1307
3,1,0.3698,0.3059,0.5406,0.2787,leg_codedtweets,0.0722,0.2573
4,1,0.4106,0.3529,0.501,0.3566,leg_codedtweets,0.1135,0.3225
5,1,0.4002,0.3686,0.4979,0.3852,leg_codedtweets,0.163,0.3536
6,1,0.4497,0.3961,0.576,0.4057,leg_codedtweets,0.188,0.4003
7,1,0.4523,0.4039,0.5729,0.4324,leg_codedtweets,0.2237,0.4229
8,1,0.4523,0.4039,0.5729,0.4324,leg_codedtweets,0.2237,0.4229
9,1,0.4523,0.4039,0.5729,0.4324,leg_codedtweets,0.2237,0.4229
10,1,0.4523,0.4039,0.5729,0.4324,leg_codedtweets,0.2237,0.4229
1,2,0.2578,0.0039,0.4771,0.0041,leg_codedtweets,0.0044,0.007
2,2,0.3307,0.1245,0.4927,0.0594,leg_codedtweets,0.0147,0.0247
3,2,0.4288,0.2412,0.4781,0.166,leg_codedtweets,0.0418,0.1106
4,2,0.4366,0.2879,0.451,0.2439,leg_codedtweets,0.0681,0.1865
5,2,0.4983,0.3035,0.5531,0.25,leg_codedtweets,0.0807,0.2334
6,2,0.5295,0.3696,0.5396,0.3115,leg_codedtweets,0.1147,0.2883
7,2,0.5425,0.3813,0.5688,0.3299,leg_codedtweets,0.1506,0.3247
8,2,0.5425,0.3813,0.5688,0.3299,leg_codedtweets,0.1506,0.3247
9,2,0.5425,0.3813,0.5688,0.3299,leg_codedtweets,0.1506,0.3247
10,2,0.5425,0.3813,0.5688,0.3299,leg_codedtweets,0.1506,0.3247
1,3,0.2682,0.0079,0.476,0.002,leg_codedtweets,0.0025,0.0039
2,3,0.3898,0.1575,0.5125,0.1168,leg_codedtweets,0.0521,0.1094
3,3,0.4236,0.2244,0.5073,0.1742,leg_codedtweets,0.0488,0.1357
4,3,0.4184,0.2835,0.4448,0.2766,leg_codedtweets,0.0862,0.2419
5,3,0.4731,0.3268,0.5354,0.3504,leg_codedtweets,0.1312,0.3224
6,3,0.5122,0.3819,0.5562,0.375,leg_codedtweets,0.1789,0.36
7,3,0.5252,0.4016,0.5594,0.3791,leg_codedtweets,0.1834,0.367
8,3,0.5252,0.4016,0.5594,0.3791,leg_codedtweets,0.1834,0.367
9,3,0.5252,0.4016,0.5594,0.3791,leg_codedtweets,0.1834,0.367
10,3,0.5252,0.4016,0.5594,0.3791,leg_codedtweets,0.1834,0.367
1,1,0.7973,0.7972,0.2854,0.5307,cap,0.5153,0.5461
2,1,0.8129,0.8129,0.301,0.5615,cap,0.5161,0.5668
3,1,0.8125,0.8125,0.2833,0.5266,cap,0.5377,0.5245
4,1,0.8113,0.8113,0.2604,0.5123,cap,0.47,0.5098
5,1,0.8123,0.8123,0.2573,0.5061,cap,0.4934,0.491
1,2,0.8017,0.8017,0.2938,0.5471,cap,0.5238,0.5556
2,2,0.8128,0.8128,0.2969,0.5533,cap,0.5092,0.557
3,2,0.815,0.815,0.2927,0.5451,cap,0.5039,0.5505
4,2,0.8161,0.8161,0.2833,0.5266,cap,0.4763,0.5286
5,2,0.8147,0.8147,0.2667,0.4939,cap,0.4528,0.4971
1,3,0.7977,0.7977,0.2833,0.5266,cap,0.5295,0.5336
2,3,0.8099,0.8099,0.2969,0.5533,cap,0.526,0.5566
3,3,0.8132,0.8132,0.2896,0.5389,cap,0.5204,0.551
4,3,0.8105,0.8105,0.2698,0.5,cap,0.4861,0.5076
5,3,0.8125,0.8124,0.2854,0.5307,cap,0.4755,0.5361
1,1,0.8022,0.8023,0.5062,0.5205,coded_tweets-AND-fullCAP,0.5178,0.575
2,1,0.8112,0.8113,0.5385,0.5615,coded_tweets-AND-fullCAP,0.5637,0.6053
3,1,0.8159,0.8159,0.5521,0.4857,coded_tweets-AND-fullCAP,0.5423,0.5276
4,1,0.8118,0.8119,0.5198,0.5184,coded_tweets-AND-fullCAP,0.5559,0.5516
5,1,0.8133,0.8133,0.5208,0.5205,coded_tweets-AND-fullCAP,0.5351,0.5558
1,2,0.8005,0.8008,0.3052,0.5676,coded_tweets-AND-fullCAP,0.5125,0.5782
2,2,0.8121,0.8122,0.4906,0.5266,coded_tweets-AND-fullCAP,0.5226,0.5703
3,2,0.8145,0.8146,0.4688,0.498,coded_tweets-AND-fullCAP,0.5083,0.5226
4,2,0.8139,0.8139,0.5375,0.4488,coded_tweets-AND-fullCAP,0.4756,0.4756
5,2,0.8151,0.8151,0.5531,0.4836,coded_tweets-AND-fullCAP,0.4833,0.5213
1,3,0.7998,0.8,0.2927,0.5164,coded_tweets-AND-fullCAP,0.4874,0.5451
2,3,0.8127,0.8127,0.5385,0.4672,coded_tweets-AND-fullCAP,0.536,0.5081
3,3,0.812,0.812,0.5385,0.4242,coded_tweets-AND-fullCAP,0.5027,0.4691
4,3,0.8138,0.8138,0.5,0.498,coded_tweets-AND-fullCAP,0.503,0.5251
5,3,0.813,0.8131,0.4354,0.4713,coded_tweets-AND-fullCAP,0.4723,0.4782
1,1,0.2478,0.2655,0.1854,0.1701,coded_tweets-AND-smallCAP,0.0584,0.0688
2,1,0.434,0.4499,0.4542,0.3033,coded_tweets-AND-smallCAP,0.2036,0.2647
3,1,0.5595,0.5634,0.5135,0.3996,coded_tweets-AND-smallCAP,0.3844,0.3808
4,1,0.6094,0.6121,0.5573,0.4529,coded_tweets-AND-smallCAP,0.4574,0.4459
5,1,0.6337,0.6268,0.574,0.4713,coded_tweets-AND-smallCAP,0.477,0.4804
6,1,0.6319,0.6283,0.6135,0.4795,coded_tweets-AND-smallCAP,0.489,0.5006
7,1,0.6306,0.6298,0.5792,0.5205,coded_tweets-AND-smallCAP,0.5002,0.5387
8,1,0.6306,0.6298,0.5792,0.5205,coded_tweets-AND-smallCAP,0.5002,0.5387
9,1,0.6306,0.6298,0.5792,0.5205,coded_tweets-AND-smallCAP,0.5002,0.5387
10,1,0.6306,0.6298,0.5792,0.5205,coded_tweets-AND-smallCAP,0.5002,0.5387
1,2,0.3316,0.3447,0.2698,0.2111,coded_tweets-AND-smallCAP,0.08,0.1623
2,2,0.5104,0.5222,0.4917,0.3053,coded_tweets-AND-smallCAP,0.256,0.2733
3,2,0.5833,0.5991,0.4333,0.4508,coded_tweets-AND-smallCAP,0.3331,0.4442
4,2,0.6081,0.6243,0.4979,0.5041,coded_tweets-AND-smallCAP,0.4395,0.5077
5,2,0.6263,0.6464,0.4948,0.5184,coded_tweets-AND-smallCAP,0.4408,0.5234
6,2,0.638,0.6598,0.5344,0.5061,coded_tweets-AND-smallCAP,0.4468,0.5245
7,2,0.6445,0.6627,0.5542,0.5225,coded_tweets-AND-smallCAP,0.4822,0.5431
8,2,0.6445,0.6627,0.5542,0.5225,coded_tweets-AND-smallCAP,0.4822,0.5431
9,2,0.6445,0.6627,0.5542,0.5225,coded_tweets-AND-smallCAP,0.4822,0.5431
10,2,0.6445,0.6627,0.5542,0.5225,coded_tweets-AND-smallCAP,0.4822,0.5431
