epoch,fold,macro_test,policy_test,macro_val,policy_val,dataset,policy_val_f1macro,policy_val_f1weighted
5,2,0.7089,0.611,0.7115,0.4891,coded_tweets-AND-smallCAP,0.5024,0.5759
6,2,0.7249,0.6489,0.7146,0.5584,coded_tweets-AND-smallCAP,0.5591,0.6234
7,2,0.7258,0.6671,0.7156,0.5901,coded_tweets-AND-smallCAP,0.5737,0.6451
1,3,0.4659,0.3028,0.5875,0.3366,coded_tweets-AND-smallCAP,0.088,0.266
2,3,0.62,0.5394,0.6677,0.5089,coded_tweets-AND-smallCAP,0.3186,0.5141
3,3,0.6643,0.5521,0.7094,0.5267,coded_tweets-AND-smallCAP,0.4863,0.5842
4,3,0.669,0.5577,0.6938,0.501,coded_tweets-AND-smallCAP,0.4296,0.5604
5,3,0.6805,0.5746,0.6958,0.5168,coded_tweets-AND-smallCAP,0.4665,0.5767
6,3,0.6964,0.5972,0.7146,0.5327,coded_tweets-AND-smallCAP,0.4849,0.6053
7,3,0.6756,0.6197,0.7219,0.6238,coded_tweets-AND-smallCAP,0.5937,0.6754
8,3,0.6756,0.6197,0.7219,0.6238,coded_tweets-AND-smallCAP,0.5937,0.6754
9,3,0.6756,0.6197,0.7219,0.6238,coded_tweets-AND-smallCAP,0.5937,0.6754
1,1,0.4311,0.1181,0.4854,0.0931,coded_tweets-AND-smallerCAP,0.0098,0.0551
2,1,0.5524,0.44,0.5833,0.4337,coded_tweets-AND-smallerCAP,0.1725,0.3764
3,1,0.6619,0.56,0.6635,0.5188,coded_tweets-AND-smallerCAP,0.3418,0.5109
4,1,0.6981,0.5943,0.6948,0.5307,coded_tweets-AND-smallerCAP,0.4515,0.572
5,1,0.7123,0.5619,0.7073,0.4812,coded_tweets-AND-smallerCAP,0.4162,0.5537
6,1,0.7479,0.6762,0.7229,0.5842,coded_tweets-AND-smallerCAP,0.5476,0.6294
7,1,0.7487,0.6971,0.7156,0.598,coded_tweets-AND-smallerCAP,0.5534,0.638
8,1,0.7487,0.6971,0.7156,0.598,coded_tweets-AND-smallerCAP,0.5534,0.638
9,1,0.7487,0.6971,0.7156,0.598,coded_tweets-AND-smallerCAP,0.5534,0.638
1,2,0.4299,0.1923,0.5281,0.2495,coded_tweets-AND-smallerCAP,0.0363,0.1599
2,2,0.6048,0.4404,0.6698,0.4733,coded_tweets-AND-smallerCAP,0.2349,0.4624
3,2,0.6766,0.5788,0.7021,0.5584,coded_tweets-AND-smallerCAP,0.4293,0.5858
4,2,0.7025,0.5827,0.7156,0.5426,coded_tweets-AND-smallerCAP,0.4786,0.5891
5,2,0.7017,0.5731,0.7271,0.5446,coded_tweets-AND-smallerCAP,0.5309,0.6157
6,2,0.7156,0.6135,0.7312,0.5663,coded_tweets-AND-smallerCAP,0.5452,0.6276
7,2,0.6979,0.6154,0.7156,0.6079,coded_tweets-AND-smallerCAP,0.5629,0.6482
1,3,0.4466,0.1481,0.4906,0.1347,coded_tweets-AND-smallerCAP,0.017,0.0806
2,3,0.6336,0.5127,0.6427,0.4891,coded_tweets-AND-smallerCAP,0.2536,0.4712
3,3,0.6749,0.5965,0.6823,0.5604,coded_tweets-AND-smallerCAP,0.4507,0.5856
4,3,0.7166,0.616,0.7146,0.5465,coded_tweets-AND-smallerCAP,0.5076,0.5985
5,3,0.6992,0.5614,0.7094,0.5069,coded_tweets-AND-smallerCAP,0.4908,0.5802
6,3,0.7216,0.6082,0.7177,0.5406,coded_tweets-AND-smallerCAP,0.5049,0.5972
7,3,0.7285,0.6589,0.7281,0.604,coded_tweets-AND-smallerCAP,0.5436,0.6501
8,3,0.7285,0.6589,0.7281,0.604,coded_tweets-AND-smallerCAP,0.5436,0.6501
9,3,0.7285,0.6589,0.7281,0.604,coded_tweets-AND-smallerCAP,0.5436,0.6501
1,1,0.754,0.7514,0.674,0.4832,coded_tweets-AND-ar,0.4165,0.5447
2,1,0.7904,0.7879,0.6573,0.4257,coded_tweets-AND-ar,0.4328,0.5087
3,1,0.8187,0.8161,0.6198,0.3663,coded_tweets-AND-ar,0.4103,0.4621
4,1,0.8244,0.8213,0.5823,0.2772,coded_tweets-AND-ar,0.3527,0.3825
5,1,0.848,0.8473,0.6562,0.4614,coded_tweets-AND-ar,0.4445,0.5399
6,1,0.8549,0.8553,0.6833,0.5307,coded_tweets-AND-ar,0.5173,0.5935
1,2,0.8267,0.8293,0.6656,0.5723,coded_tweets-AND-ar,0.5445,0.6157
2,2,0.8478,0.8493,0.65,0.4812,coded_tweets-AND-ar,0.4837,0.5609
3,2,0.8447,0.8446,0.651,0.4257,coded_tweets-AND-ar,0.4381,0.5138
4,2,0.8503,0.8515,0.6667,0.495,coded_tweets-AND-ar,0.4896,0.5609
5,2,0.8525,0.855,0.6521,0.5604,coded_tweets-AND-ar,0.5296,0.6084
1,3,0.7979,0.7959,0.6635,0.4376,coded_tweets-AND-ar,0.4229,0.5119
2,3,0.8318,0.8304,0.6333,0.4198,coded_tweets-AND-ar,0.423,0.499
3,3,0.8436,0.8434,0.6573,0.4653,coded_tweets-AND-ar,0.479,0.5425
4,3,0.8546,0.8551,0.6677,0.5129,coded_tweets-AND-ar,0.4787,0.5728
5,3,0.8545,0.8552,0.6833,0.5485,coded_tweets-AND-ar,0.54,0.6117
