"user_id","user_party","user_state","followed_mcs","followed_mcs_dem","followed_mcs_rep","followed_mcs_dem_n","followed_mcs_rep_n","followed_mcs_sameparty_n","followed_mcs_samestate_n","followed_mcs_samestate_dem_n","followed_mcs_samestate_rep_n","followed_mcs_samestate_sameparty_n","followed_natmedia","followed_natmedia_n","followed_statemedia","followed_statemedia_n","followed_statemedia_samestate","followed_statemedia_samestate_n","followed_partisans_n","followed_partisans_sameparty_n"
"2358888290","democrat","MA","29442313;357606935;442824717;248495200;29450962;970207298;15764644;461720085;124540457;1206227149;216776631;75785294;95546148;1129029661;36686040;310310133;232992031;21406834;242892689;3091316093;128664931;305216911;14984637;242426145;2293131060;1055907624","357606935;442824717;248495200;29450962;970207298;15764644;461720085;124540457;1206227149;75785294;95546148;1129029661;36686040;310310133;232992031;21406834;242892689;3091316093;128664931;305216911;14984637;242426145;2293131060;1055907624","","24","0","24","18","18","0","18","759251;51241574","2","95431448;15005770;14677919;14420767;16684965;2488541;11178352;15513778;321542010;26070005;807095","11","95431448;15005770;14420767;16684965;2488541;11178352;15513778;321542010;26070005","9","388","387"
"803376573818826752","democrat","CA","29442313;88806753;29501253;803694179079458816;17494010;29450962;1071102246;15764644;176512266;24913074;30354991;21059255;816157667882373120;36686040;385429543;15808765;303633791;14135426;19394188;2371339658;44251742;476256944;38254095;248735463;398193180","88806753;29501253;803694179079458816;17494010;29450962;1071102246;15764644;176512266;24913074;30354991;21059255;816157667882373120;36686040;385429543;15808765;303633791;14135426;2371339658;44251742;476256944;38254095;248735463;398193180","19394188","23","1","23","19","19","0","19","759251;14511951;51241574","3","17566659;188760481;75375556;236951091;9311472;14411304;16664681;14148802;23092822;69212542;222285792;17926257;8249162;8249832;121597316","15","17566659;188760481;75375556;236951091;9311472;14411304;16664681;14148802;23092822;69212542;222285792;17926257;8249162;8249832;121597316","15","189","179"
"453572185","democrat","FL","58579942;22012091;29442313;756123897783808000;357606935;17494010;1730030220;816030424778543104;29450962;970207298;72198806;745372686596120576;15764644;20597460;172858784;216776631;3404875323;30354991;239548513;15808765;38970940;1880674038;15745368","22012091;756123897783808000;357606935;17494010;1730030220;816030424778543104;29450962;970207298;72198806;745372686596120576;15764644;20597460;172858784;3404875323;30354991;239548513;15808765;38970940;1880674038","58579942;15745368","19","2","19","10","8","2","8","759251;51241574","2","14677919;14304462;17129404;8737662;14247572;14085040;15736836;15822299;807095","9","14304462;17129404;8737662;14247572;14085040;15736836;15822299","7","124","73"
"3060663253","republican","TX","743601590;23022687;1074480192;39834947;13218102;19926675;216881337;18916432;1249982359;26424123;15745368","","743601590;23022687;1074480192;39834947;13218102;19926675;216881337;18916432;1249982359;26424123;15745368","0","11","11","6","0","6","6","759251;1367531;51241574","3","16365305;5692542;16621190;26937936;44513878;8940342;807095;15679641","8","16365305;5692542;16621190;26937936;44513878;8940342;15679641","7","41","35"
"48882164","democrat","FL","818948638890217473;2433737761;58579942;29442313;80612021;357606935;29501253;17494010;1730030220;29450962;14275291;18916432;970207298;65541270;15764644;342863309;231510077;216776631;30354991;239548513;234014087;555355209;36686040;15808765;2953922782;223166587;1134292500;199325935;38970940;1055907624;15745368","2433737761;80612021;357606935;29501253;17494010;1730030220;29450962;970207298;65541270;15764644;342863309;231510077;30354991;239548513;234014087;555355209;36686040;15808765;223166587;1134292500;199325935;38970940;1055907624","818948638890217473;58579942;2953922782;14275291;18916432;15745368","23","6","23","10","6","4","6","759251;14511951;1367531;51241574","4","14304462;406974565;19216918;807095;16960002;14085040;15822299;12699932","8","14304462;406974565;19216918;14085040;15822299;12699932","6","268","225"
"911707254952529920","democrat","IL","1872999342;2433737761;29442313;257180565;43910797;789244177;1092979962;1071102246;18916432;970207298;219429281;2962923040;20597460;249410485;787373558;32010840;308794407;1071840474;24195214;278005891;7429102;235217558;2856787757;60828944;1068481578;15808765;224285242;13491312;76452765;20545793;278124059;249348006;247334603;19929362;993153006;1058520120","1872999342;2433737761;257180565;43910797;789244177;1092979962;1071102246;970207298;20597460;249410485;787373558;308794407;1071840474;24195214;278005891;7429102;60828944;15808765;224285242;13491312;20545793;278124059;249348006;247334603;1058520120","219429281;2962923040;235217558;2856787757;76452765;32010840;19929362;993153006;18916432","25","9","25","11","9","2","9","","0","7313362;512242904;30284449;12811952;16381558;16104602","6","7313362;512242904;30284449;12811952;16381558;16104602","6","85","80"
"287024128","republican","CA","50152441;22012091;267938462;236279233;88806753;18916432;246769138;21346398;1074412920;24913074;30354991;47798449;21059255;19739126;36676406;19139963;138553197;30252303;22509548;63650107;733751245;19394188;22545491;44251742;15428227;476256944;248735463;15745368","21059255;22012091;44251742;267938462;236279233;88806753;476256944;30252303;24913074;30354991;248735463","63650107;733751245;47798449;50152441;19394188;22545491;19739126;15428227;21346398;36676406;1074412920;19139963;138553197;22509548;18916432;246769138;15745368","11","17","17","23","10","13","13","759251;14511951;1367531;51241574","4","188760481;1490865258;14411304;16664681;419808969;44212632;25184991;19312573;36739057;1486263372;17820493;807095;41416662;48791466;1511805104;242569275;62872266;36726529;5513142","19","188760481;41416662;1490865258;36726529;25184991;19312573;36739057;48791466;1486263372;5513142;1511805104;242569275;14411304;17820493;16664681;419808969;62872266;44212632","18","97","67"
"20644994","democrat","MA","72198806;95546148;357606935;232992031;21406834;1055907624;47747074","72198806;95546148;357606935;232992031;21406834;1055907624;47747074","","7","0","7","5","5","0","5","","0","18453902;15005770;40309270;11178352","4","11178352;15005770;40309270;18453902","4","81","81"
"169974084","republican","NY","24735461;109579534;17494010;252819323;18277655;1074480192;26637348;18916432;240363117;23022687;15874918;557794383;3374540505;26533227;756285384;733751245;33576489;63073834;26062385;1058256326;216881337;15745368","33576489;26637348;17494010","24735461;109579534;252819323;18277655;1074480192;18916432;240363117;23022687;15874918;557794383;3374540505;26533227;756285384;733751245;63073834;26062385;1058256326;216881337;15745368","3","19","19","11","2","9","9","","0","17243809;43805270;112772431;160667346;14836971;16141413;24905968;26996798;13062472;11988052;17448662;13436572;20538284;148878245;17469289;34543494","16","17243809;43805270;112772431;160667346;14836971;16141413;24905968;26996798;13062472;11988052;17448662;13436572;20538284;17469289","14","162","131"
"3075634731","democrat","NY","72198806;84119348;29442313;17494010;153865861","72198806;153865861;84119348;17494010","","4","0","4","4","4","0","4","","0","24905968;26996798;17448662","3","24905968;26996798;17448662","3","16","16"
